"","X","Morphotype","IsolateID","CulturePlate","Type","MesquiteNum","PlantOrigin","Plot","PlateNum","morph"
"1",1,"F01","3-DICA-CAN-1-A","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1,"F01"
"2",2,"F01","3-DICA-CAN-3-B","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3,"F01"
"3",3,"F01","3-DICA-CAN-2-A","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2,"F01"
"4",4,"F01","3-DICA-CAN-3-C","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3,"F01"
"5",5,"F02","1-ERLE-OPN-1-A","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1,"F02"
"6",6,"F02","3-ERLE-OPN-2-A","3-ERLE-OPN-2","Fungi",3,"ERLE","OPN",2,"F02"
"7",7,"F02","3-ERLE-OPN-1-C","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1,"F02"
"8",8,"F02","3-ERLE-OPN-1-A1","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1,"F02"
"9",9,"F03","2-DICA-CAN-1-B","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1,"F03"
"10",10,"F03","1-DICA-OPN-3-A","1-DICA-OPN-3","Fungi",1,"DICA","OPN",3,"F03"
"11",11,"F03","2-DICA-CAN-1-G","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1,"F03"
"12",12,"F03","2-DICA-CAN-3-G","2-DICA-CAN-3","Fungi",2,"DICA","CAN",3,"F03"
"13",13,"F03","3-DICA-OPN-3-A","3-DICA-OPN-3","Fungi",3,"DICA","OPN",3,"F03"
"14",14,"F03","2-ERLE-CAN-1-A","2-ERLE-CAN-1","Fungi",2,"ERLE","CAN",1,"F03"
"15",15,"F04","1-ERLE-OPN-1-F","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1,"F04"
"16",16,"F04","1-ERLE-OPN-1-E","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1,"F04"
"17",17,"F04","1-ERLE-OPN-1-G","1-ERLE-OPN-1","Fungi",1,"ERLE","OPN",1,"F04"
"18",18,"F05","2-ERLE-CAN-3-B","2-ERLE-CAN-3","Fungi",2,"ERLE","CAN",3,"F05"
"19",19,"F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3,"F05"
"20",20,"F05","1-ERLE-CAN-3-G","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3,"F05"
"21",21,"F05","1-ERLE-CAN-3-C","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3,"F05"
"22",22,"F05","1-ERLE-CAN-3-H","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3,"F05"
"23",23,"F06","3-ERLE-OPN-1-A2","3-ERLE-OPN-1","Fungi",3,"ERLE","OPN",1,"F06"
"24",24,"F06","3-DICA-OPN-2-F","3-DICA-OPN-2","Fungi",3,"DICA","OPN",2,"F06"
"25",25,"F06","1-ERLE-CAN-3-I","1-ERLE-CAN-3","Fungi",1,"ERLE","CAN",3,"F06"
"26",26,"F07","3-DICA-CAN-2-C","3-DICA-CAN-2","Fungi",3,"DICA","CAN",2,"F07"
"27",27,"F07","3-DICA-CAN-3-A","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3,"F07"
"28",28,"F07","1-DICA-CAN-2-C","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2,"F07"
"29",29,"F07","3-DICA-CAN-1-B","3-DICA-CAN-1","Fungi",3,"DICA","CAN",1,"F07"
"30",30,"F07","3-DICA-CAN-3-D","3-DICA-CAN-3","Fungi",3,"DICA","CAN",3,"F07"
"31",31,"F07","2-DICA-CAN-2-A","2-DICA-CAN-2","Fungi",2,"DICA","CAN",2,"F07"
"32",32,"F07","2-DICA-CAN-2-C","2-DICA-CAN-2","Fungi",2,"DICA","CAN",2,"F07"
"33",33,"F08","1-DICA-CAN-2-A","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2,"F08"
"34",34,"F08","3-ERLE-CAN-3-A","3-ERLE-CAN-3","Fungi",3,"ERLE","CAN",3,"F08"
"35",35,"F08","3-ERLE-CAN-1-A","3-ERLE-CAN-1","Fungi",3,"ERLE","CAN",1,"F08"
"36",36,"F08","1-DICA-CAN-2-E","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2,"F08"
"37",37,"F08","1-DICA-CAN-2-F","1-DICA-CAN-2","Fungi",1,"DICA","CAN",2,"F08"
"38",38,"F09","2-DICA-CAN-1-E","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1,"F09"
"39",39,"F09","2-DICA-CAN-1-I","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1,"F09"
"40",40,"F06","2-DICA-CAN-1-A","2-DICA-CAN-1","Fungi",2,"DICA","CAN",1,"F06"
