"","ID","Grass","SoilType","Plot","MesquiteNum","TotalSeeds","CanopyStatus","PatchType","GrassType"
"1","M1-NO-1","ERLE","Live","NO","M1",4,"Open","Native","ERLE (Invasive)"
"2","M1-NO-2","ERLE","Sterile","NO","M1",4,"Open","Native","ERLE (Invasive)"
"3","M1-NC-1","ERLE","Live","NC","M1",9,"Mesquite","Native","ERLE (Invasive)"
"4","M1-NC-2","ERLE","Sterile","NC","M1",8,"Mesquite","Native","ERLE (Invasive)"
"5","M1-IO-1","ERLE","Live","IO","M1",7,"Open","Invasive","ERLE (Invasive)"
"6","M1-IO-2","ERLE","Sterile","IO","M1",5,"Open","Invasive","ERLE (Invasive)"
"7","M1-IC-1","ERLE","Live","IC","M1",3,"Mesquite","Invasive","ERLE (Invasive)"
"8","M1-IC-2","ERLE","Sterile","IC","M1",7,"Mesquite","Invasive","ERLE (Invasive)"
"9","M1-NO-1","ERIN","Live","NO","M1",4,"Open","Native","ERIN (Native)"
"10","M1-NO-2","ERIN","Sterile","NO","M1",5,"Open","Native","ERIN (Native)"
"11","M1-NC-1","ERIN","Live","NC","M1",4,"Mesquite","Native","ERIN (Native)"
"12","M1-NC-2","ERIN","Sterile","NC","M1",7,"Mesquite","Native","ERIN (Native)"
"13","M1-IO-1","ERIN","Live","IO","M1",3,"Open","Invasive","ERIN (Native)"
"14","M1-IO-2","ERIN","Sterile","IO","M1",5,"Open","Invasive","ERIN (Native)"
"15","M1-IC-1","ERIN","Live","IC","M1",4,"Mesquite","Invasive","ERIN (Native)"
"16","M1-IC-2","ERIN","Sterile","IC","M1",7,"Mesquite","Invasive","ERIN (Native)"
"17","M1-NO-1","BOCU","Live","NO","M1",1,"Open","Native","BOCU (Native)"
"18","M1-NO-2","BOCU","Sterile","NO","M1",4,"Open","Native","BOCU (Native)"
"19","M1-NC-1","BOCU","Live","NC","M1",2,"Mesquite","Native","BOCU (Native)"
"20","M1-NC-2","BOCU","Sterile","NC","M1",10,"Mesquite","Native","BOCU (Native)"
"21","M1-IO-1","BOCU","Live","IO","M1",0,"Open","Invasive","BOCU (Native)"
"22","M1-IO-2","BOCU","Sterile","IO","M1",10,"Open","Invasive","BOCU (Native)"
"23","M1-IC-1","BOCU","Live","IC","M1",0,"Mesquite","Invasive","BOCU (Native)"
"24","M1-IC-2","BOCU","Sterile","IC","M1",3,"Mesquite","Invasive","BOCU (Native)"
"25","M2-NO-1","ERLE","Live","NO","M2",2,"Open","Native","ERLE (Invasive)"
"26","M2-NO-2","ERLE","Sterile","NO","M2",6,"Open","Native","ERLE (Invasive)"
"27","M2-NC-1","ERLE","Live","NC","M2",4,"Mesquite","Native","ERLE (Invasive)"
"28","M2-NC-2","ERLE","Sterile","NC","M2",8,"Mesquite","Native","ERLE (Invasive)"
"29","M2-IO-1","ERLE","Live","IO","M2",2,"Open","Invasive","ERLE (Invasive)"
"30","M2-IO-2","ERLE","Sterile","IO","M2",6,"Open","Invasive","ERLE (Invasive)"
"31","M2-IC-1","ERLE","Live","IC","M2",10,"Mesquite","Invasive","ERLE (Invasive)"
"32","M2-IC-2","ERLE","Sterile","IC","M2",10,"Mesquite","Invasive","ERLE (Invasive)"
"33","M2-NO-1","ERIN","Live","NO","M2",1,"Open","Native","ERIN (Native)"
"34","M2-NO-2","ERIN","Sterile","NO","M2",5,"Open","Native","ERIN (Native)"
