"","ID","Grass","Plot","MesquiteNum","InitialWeight.g","MassLoss","ScaledMassLoss","CanopyStatus","PatchType","LitterType","logit"
"1","3_D_IO_1","D","IO","M1",10.78,0.18,0.0166975881261596,"Open","Invasive","DICA (Native)",-4.07565242920995
"2","3_D_IO_2","D","IO","M2",9.78,0.18,0.0184049079754601,"Open","Invasive","DICA (Native)",-3.97656152656572
"3","3_D_IO_3","D","IO","M3",11.14,0.05,0.00448833034111311,"Open","Invasive","DICA (Native)",-5.40177607491627
"4","3_D_NC_1","D","NC","M1",10.04,0.1,0.0099601593625498,"Mesquite","Native","DICA (Native)",-4.59915211366253
"5","3_D_NC_2","D","NC","M2",10.25,0.07,0.00682926829268293,"Mesquite","Native","DICA (Native)",-4.97968504805515
"6","3_D_NC_3","D","NC","M3",10.53,0.03,0.00284900284900285,"Mesquite","Native","DICA (Native)",-5.85793315448346
"7","3_D_NO_1","D","NO","M1",10.12,0.23,0.0227272727272727,"Open","Native","DICA (Native)",-3.76120011569356
"8","3_D_NO_2","D","NO","M2",10.12,0.07,0.00691699604743083,"Open","Native","DICA (Native)",-4.96683267143786
"9","3_D_NO_3","D","NO","M3",9.89,0.08,0.00808897876643074,"Open","Native","DICA (Native)",-4.80913091788553
"10","3_E_IC_1","E","IC","M1",10.33,0.12,0.0116166505324298,"Mesquite","Invasive","ERLE (Invasive)",-4.44363116837667
"11","3_E_IC_2","E","IC","M2",10.55,0.1,0.00947867298578199,"Mesquite","Invasive","ERLE (Invasive)",-4.64918707140487
"12","3_E_IC_3","E","IC","M3",9.74,0.11,0.0112936344969199,"Mesquite","Invasive","ERLE (Invasive)",-4.47215813899976
"13","3_E_IO_1","E","IO","M1",11.3,0.06,0.00530973451327434,"Open","Invasive","ERLE (Invasive)",-5.23288956122558
"14","3_E_IO_2","E","IO","M2",10.25,0.12,0.0117073170731707,"Open","Invasive","ERLE (Invasive)",-4.43576485446068
"15","3_E_IO_3","E","IO","M3",9.81,0.02,0.00203873598369011,"Open","Invasive","ERLE (Invasive)",-6.19338446197056
"16","3_E_NC_1","E","NC","M1",11.1,0.26,0.0234234234234234,"Mesquite","Native","ERLE (Invasive)",-3.73031664397811
"17","3_E_NC_2","E","NC","M2",10.27,0.27,0.0262901655306719,"Mesquite","Native","ERLE (Invasive)",-3.61191841297781
"18","3_E_NC_3","E","NC","M3",10.09,0.1,0.00991080277502478,"Mesquite","Native","ERLE (Invasive)",-4.60416968565451
"19","3_E_NO_1","E","NO","M1",10.61,0.08,0.00754005655042413,"Open","Native","ERLE (Invasive)",-4.87995697045414
"20","3_E_NO_2","E","NO","M2",11.11,0.16,0.0144014401440144,"Open","Native","ERLE (Invasive)",-4.22592092001082
"21","3_E_NO_3","E","NO","M3",9.96,0,0,"Open","Native","ERLE (Invasive)",-Inf
"22","3_D_IC_1","D","IC","M1",10.2,0.08,0.00784313725490196,"Mesquite","Invasive","DICA (Native)",-4.84024230816757
"23","3_D_IC_3","D","IC","M3",9.73,0.34,0.0349434737923947,"Mesquite","Invasive","DICA (Native)",-3.3184549545921
"24","3_D_IC_2","D","IC","M2",9.7,0.25,0.0257731958762887,"Mesquite","Invasive","DICA (Native)",-3.63230910262554
