"","SampleID","AnalysisType","values","MesquiteNum","Plot","SoilType","CanopyStatus","PatchType"
"1","M1_NC_1","pH",5.3,"M1","NC","Live","Mesquite","Native"
"2","M1_NC_1","ElectricalConductivity.dS.m.",0.14,"M1","NC","Live","Mesquite","Native"
"3","M1_NC_1","Ca.ppm.",360,"M1","NC","Live","Mesquite","Native"
"4","M1_NC_1","Mg.ppm.",48,"M1","NC","Live","Mesquite","Native"
"5","M1_NC_1","Na.ppm.",21,"M1","NC","Live","Mesquite","Native"
"6","M1_NC_1","K.ppm.",220,"M1","NC","Live","Mesquite","Native"
"7","M1_NC_1","Zn.ppm.",1.8,"M1","NC","Live","Mesquite","Native"
"8","M1_NC_1","Fe.ppm.",150,"M1","NC","Live","Mesquite","Native"
"9","M1_NC_1","Mn.ppm.",10,"M1","NC","Live","Mesquite","Native"
"10","M1_NC_1","Cu.ppm.",2.7,"M1","NC","Live","Mesquite","Native"
"11","M1_NC_1","Ni.ppm.",0.13,"M1","NC","Live","Mesquite","Native"
"12","M1_NC_1","NO3.N.ppm.",9.7,"M1","NC","Live","Mesquite","Native"
"13","M1_NC_1","PO4.P.ppm.",19,"M1","NC","Live","Mesquite","Native"
"14","M1_NC_1","SO4.S.ppm.",9.4,"M1","NC","Live","Mesquite","Native"
"15","M1_NC_1","B.ppm.",0.59,"M1","NC","Live","Mesquite","Native"
"16","M1_NC_1","ESP...",3.21,"M1","NC","Live","Mesquite","Native"
"17","M1_NC_1","CEC.meq.100g.",2.85,"M1","NC","Live","Mesquite","Native"
"18","M1_NC_2","pH",5,"M1","NC","Sterile","Mesquite","Native"
"19","M1_NC_2","ElectricalConductivity.dS.m.",0.12,"M1","NC","Sterile","Mesquite","Native"
"20","M1_NC_2","Ca.ppm.",390,"M1","NC","Sterile","Mesquite","Native"
"21","M1_NC_2","Mg.ppm.",53,"M1","NC","Sterile","Mesquite","Native"
"22","M1_NC_2","Na.ppm.",20,"M1","NC","Sterile","Mesquite","Native"
"23","M1_NC_2","K.ppm.",240,"M1","NC","Sterile","Mesquite","Native"
"24","M1_NC_2","Zn.ppm.",2.1,"M1","NC","Sterile","Mesquite","Native"
"25","M1_NC_2","Fe.ppm.",86,"M1","NC","Sterile","Mesquite","Native"
"26","M1_NC_2","Mn.ppm.",37,"M1","NC","Sterile","Mesquite","Native"
"27","M1_NC_2","Cu.ppm.",2.1,"M1","NC","Sterile","Mesquite","Native"
"28","M1_NC_2","Ni.ppm.",0.13,"M1","NC","Sterile","Mesquite","Native"
"29","M1_NC_2","NO3.N.ppm.",5.5,"M1","NC","Sterile","Mesquite","Native"
"30","M1_NC_2","PO4.P.ppm.",20,"M1","NC","Sterile","Mesquite","Native"
"31","M1_NC_2","SO4.S.ppm.",9.5,"M1","NC","Sterile","Mesquite","Native"
"32","M1_NC_2","B.ppm.",0.53,"M1","NC","Sterile","Mesquite","Native"
"33","M1_NC_2","ESP...",2.82,"M1","NC","Sterile","Mesquite","Native"
"34","M1_NC_2","CEC.meq.100g.",3.08,"M1","NC","Sterile","Mesquite","Native"
"35","M1_IC_1","pH",5.6,"M1","IC","Live","Mesquite","Invasive"
"36","M1_IC_1","ElectricalConductivity.dS.m.",0.058,"M1","IC","Live","Mesquite","Invasive"
"37","M1_IC_1","Ca.ppm.",380,"M1","IC","Live","Mesquite","Invasive"
"38","M1_IC_1","Mg.ppm.",66,"M1","IC","Live","Mesquite","Invasive"
"39","M1_IC_1","Na.ppm.",24,"M1","IC","Live","Mesquite","Invasive"
"40","M1_IC_1","K.ppm.",130,"M1","IC","Live","Mesquite","Invasive"
"41","M1_IC_1","Zn.ppm.",1.2,"M1","IC","Live","Mesquite","Invasive"
"42","M1_IC_1","Fe.ppm.",26,"M1","IC","Live","Mesquite","Invasive"
