"","pH","Ca","Mg","Na","K","Zn","Fe","Mn","Cu","Ni","NO3.N","PO4.P","SO4.S","B","EC"
"M1_NC_1",-0.286438781078552,0.0447291392072785,-1.04050683457359,-0.064232139553063,1.97089547443808,1.00264629506902,3.83691224519016,-1.0519739696446,1.03428599085581,1.56944509669563,1.16212185403449,2.50424533569472,1.83706917596999,0.234699089161987,0.620616527964406
"M1_NC_2",-1.2685146019193,0.366778941499682,-0.445931500531537,-0.372546409407767,2.43600355100164,1.62821417414154,1.70467736508448,0.95887892808313,0.0916455941264644,1.56944509669563,-0.0148286421644107,2.78667902017157,1.88280533802733,0.049003106528327,0.188256682648129
"M1_IC_1",0.695637039762193,0.259429007402214,1.09996436797779,0.860710670011049,-0.122090870097934,-0.24848946307603,-0.294292835014585,-1.0519739696446,0.877179258067585,-0.612022991375515,-0.267032319921319,-0.489551719759869,-0.998572871585347,-0.508084841372653,-1.15205883783233
"M1_IC_2",2.9871472883906,2.2990777552541,2.52694516967871,-0.680860679262471,-0.122090870097934,0.585601042354001,-0.027763475001376,1.10783099458148,-0.85099480260288,-0.248444976696991,-0.771439675435134,-0.800228772684402,-0.175321954553153,-0.167642206544276,-0.244103162668148
"M1_NO_1",-0.941155994972383,-1.13612013586487,-1.51616710180723,-0.372546409407767,-1.33137186916319,-1.10343223114181,0.471979075023391,-0.828545869897073,-0.693888069814656,-0.757454197246925,-0.799462306297012,-0.178874666835337,-1.27298984392941,0.1728004282841,-1.51956470635116
"M1_NO_2",-0.286438781078552,-0.814070333572464,-0.445931500531537,0.244082130301641,-0.122090870097934,-0.748943766334048,-0.527506025026143,2.15049546006993,0.0916455941264644,-0.721096395779072,-1.16375650750143,-1.08266245716125,-1.09004519570004,0.513243063112477,-0.589991038921169
"M1_IO_1",-0.286438781078552,-1.0287702017674,-0.564846567339947,-0.064232139553063,-0.587198946661494,0.168555789638985,-0.294292835014585,-0.530641736900373,-0.536781337026432,0.478711052660057,0.37748818990189,-0.122387929939967,0.968082096880451,2.43210155032696,-1.1088228533007
"M1_IO_2",-0.613797388025466,-1.13612013586487,-0.445931500531537,-1.29748921897188,-0.843008388771451,-0.24848946307603,-0.027763475001376,0.884402894833955,-0.536781337026432,0.84228906733858,-0.182964427335682,-0.743742035789032,1.42544371745389,1.13222967189134,-0.827788953845121
"M2_NC_1",-0.613797388025466,-0.706720399474996,-0.564846567339947,0.860710670011049,0.808125283029184,-0.457012089433537,0.971721625048159,-0.828545869897073,-0.222567871449984,0.442353251192204,0.237375035592497,-0.122387929939967,0.007622693676224,0.791787037062966,-0.244103162668148
"M2_NC_2",-0.286438781078552,-0.599370465377529,-0.683761634148356,1.16902493986575,0.343017206465625,-0.665534715791045,-0.327609005016236,0.214118595591379,-1.32231500096755,-1.01195880752189,-0.154941796473804,0.244775859879935,1.24249906922452,1.317925654525,0.188256682648129
"M2_IC_1",-0.286438781078552,1.86967801886423,0.148643833510512,1.78565347957516,0.808125283029184,0.585601042354001,0.405346735020089,-0.903021903146249,2.2911398531616,1.2058670820171,2.08686867247649,1.65694428226417,0.464984314249665,-0.260490197861106,1.7015161412551
"M2_IC_2",-0.286438781078552,1.54762821657183,-0.327016433723127,0.244082130301641,-0.354644908379714,0.377078415996493,-0.027763475001376,-0.00930950415614689,-1.0081015353911,-0.175729373761286,0.405510820763769,-0.0941445614922823,0.785137448651074,-0.569983502250539,1.91769606391324
"M2_NO_1",0.695637039762193,0.152079073304746,0.743219167552561,-0.680860679262471,-0.587198946661494,-0.457012089433537,-0.527506025026143,-0.754069836647898,-0.379674604238208,-0.393876182568401,0.685737129382555,-0.771985404236717,-0.58694741306925,-0.848527476201029,-0.65484501571861
"M2_NO_2",0.695637039762193,0.259429007402214,1.2188794347862,-0.064232139553063,-0.912774600255985,1.00264629506902,-0.560822195027795,1.18230702783066,1.19139272364403,-0.575665189907663,-0.491213366816348,-0.0376578245969129,0.1905673419056,-0.322388858738993,0.620616527964406
"M2_IO_1",2.33243007449677,0.581478809694618,1.69453970201984,1.16902493986575,-0.587198946661494,-1.10343223114181,-0.760719215037701,-1.0519739696446,0.877179258067585,-1.0846744104576,-0.0428512730262893,-0.659011930445978,-1.3644621680441,-0.662831493567369,-1.04396887650326
"M2_IO_2",0.040919825868365,-0.492020531280061,0.148643833510512,1.16902493986575,-0.587198946661494,-0.665534715791045,-0.627454535031097,1.77811529382406,2.13403312037338,-0.902885403118334,-1.02364335319204,-0.348334877521445,-0.769892061298626,-0.353338189177936,-0.957496907440004
"M3_NC_1",0.040919825868365,1.33292834837689,1.2188794347862,-0.372546409407767,1.50578739787452,2.46230467957157,-0.127711985006329,-0.977497936395424,-0.693888069814656,2.29660112605268,2.92754759833285,0.244775859879935,-0.0838496304384644,-0.910426137078916,0.188256682648129
"M3_NC_2",-0.613797388025466,0.796178677889553,0.386473967127332,-1.29748921897188,1.50578739787452,1.83673680049905,-0.127711985006329,0.139642562342203,-0.85099480260288,0.478711052660057,0.153307143006861,-0.0941445614922823,0.510720476307009,-0.879476806639973,1.7015161412551
"M3_IC_1",-0.613797388025466,-0.814070333572464,-0.564846567339947,-0.372546409407767,-0.122090870097934,-0.24848946307603,-0.0943958150046783,-0.977497936395424,-0.536781337026432,1.2058670820171,0.321442928178133,0.527209544356783,-0.449738926897217,0.0180537760893837,0.404436605306267
"M3_IC_2",0.368278432815279,-0.0626207948901894,-0.564846567339947,-0.989174949117175,-0.587198946661494,-0.039966836718522,-0.594138365029446,0.512022728588079,-0.379674604238208,0.0787752365136801,-0.687371782849498,-0.235361403730706,-0.129585792495809,2.43210155032696,1.48533621859696
