"","pH","Ca","Mg","Na","K","Zn","Fe","Mn","Cu","Ni","NO3.N","PO4.P","SO4.S","B","EC"
"M1_NC_1",-0.428174419288836,0.0571153127988382,-1.09271293886446,-0.0243422412729755,1.92224174116807,1.05564256502434,2.89380322018638,-1.11803398874989,0.984971756471707,1.18761130136256,0.587985186142905,2.33241643488862,2.155748098976,0.337371905927912,1.02720638761369
"M1_IC_1",0.672845516025318,0.285576563994191,1.03364737460152,0.851978444554155,-0.213582415685341,-0.119106502699809,-0.390696544601822,-1.11803398874989,0.818497656786348,-0.742592168120608,-0.739863278504541,-0.613793798654899,-0.69812482920575,-0.433763879050173,-0.869174635673124
"M1_NO_1",-1.16218770949827,-1.1994215687756,-1.56523745296802,-0.316449136548686,-1.4476141507562,-0.921851698977977,0.218525185963731,0.223606797749979,-0.846243340067241,-0.871272399419487,-1.23455192219673,-0.308055000834346,-0.974306080320113,0.273110590513072,-1.26232679903746
"M1_IO_1",-0.428174419288836,-1.08519094317793,-0.620188424760912,-0.0243422412729755,-0.688210006097209,0.272476519874907,-0.390696544601822,2.01246117974981,-0.679769240381882,0.222509566620977,-0.141029657192948,-0.252466128503336,1.28117413711385,2.61864860315475,-0.822921439983201
"M2_NC_1",-0.795181064393553,-0.742499066384897,-0.620188424760912,0.851978444554155,0.735672765138396,-0.314898013987167,0.615843705897787,0.223606797749979,-0.346821041011165,0.190339508796257,-0.271210879217207,-0.252466128503336,0.31453975821358,0.915723744661477,0.102142473815245
"M2_IC_1",-0.428174419288836,1.99903594795934,0.088598346394416,1.72829913038129,0.735672765138396,0.664059542449623,0.165549383305857,-0.223606797749979,2.31676455395458,0.865910723115366,1.44718125150302,1.49858334992347,0.774841843404184,-0.176718617390811,2.18353627986175
"M2_NO_1",0.672845516025318,0.171345938396515,0.679253989023856,-0.608556031824396,-0.688210006097209,-0.314898013987167,-0.576111853904381,0.670820393249937,-0.513295140696523,-0.549571821172292,0.145369031260423,-0.891738160309948,-0.283852952534206,-0.787201113831796,-0.337262885239017
"M2_IO_1",2.50787874154891,0.628268440787221,1.62430301723096,1.14408533982987,-0.688210006097209,-0.921851698977977,-0.761527163206941,-1.11803398874989,0.818497656786348,-1.16080291984196,-0.531573323265726,-0.780560415647929,-1.06636649735823,-0.594417167587274,-0.753541646448318
"M3_NC_1",-0.0611677741841162,1.42788281997096,1.15177850312741,-0.316449136548686,1.4476141507562,2.42618314403585,-0.258257037957136,-0.670820393249937,-0.846243340067241,1.83101245785695,2.22826858364857,0.108861541648228,0.222479341175459,-0.851462429246636,0.564674430714468
"M3_IC_1",-0.795181064393553,-0.856729691982574,-0.620188424760912,-0.316449136548686,-0.213582415685341,-0.119106502699809,-0.231769136628199,-0.670820393249937,-0.679769240381882,0.865910723115366,-0.193102146002651,0.386805903303277,-0.145762326977025,0.112457301975971,0.79594040916408
"M3_NO_1",-0.428174419288836,-0.742499066384897,-0.620188424760912,-1.77698361292724,-0.213582415685341,-1.07848490800786,-0.576111853904381,1.11803398874989,-0.346821041011165,-0.935612515068926,-1.00022572255306,-0.169082820006821,-0.65209462068669,-0.401633221342753,-0.707288450758396
"M3_IO_1",0.672845516025318,0.0571153127988382,0.561122860497968,-1.19276982237582,-0.688210006097209,-0.62816443204694,-0.708551360549067,0.670820393249937,-0.679769240381882,-0.903442457244206,-0.297247123622059,-1.05850477730298,-0.928275871801053,-1.01211571778374,0.0790158759702839
