ID,MesquiteNum,Plot,Cover,GrassType,SoilType,Grass,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,TotalSeeds
M1-NO-1,1,NO,Open,Native,Live,ERLE,0,0,0,1,3,3,3,4
M1-NO-2,1,NO,Open,Native,Sterile,ERLE,0,0,0,0,1,2,3,4
M1-NC-1,1,NC,Canopy,Native,Live,ERLE,0,1,1,2,5,8,10,9
M1-NC-2,1,NC,Canopy,Native,Sterile,ERLE,0,0,1,1,1,2,7,8
M1-IO-1,1,IO,Open,Invasive,Live,ERLE,0,0,0,1,3,5,5,7
M1-IO-2,1,IO,Open,Invasive,Sterile,ERLE,0,0,0,0,3,3,5,5
M1-IC-1,1,IC,Canopy,Invasive,Live,ERLE,0,0,0,0,2,3,3,3
M1-IC-2,1,IC,Canopy,Invasive,Sterile,ERLE,0,0,0,1,5,6,7,7
M1-NO-1,1,NO,Open,Native,Live,DICA,0,0,0,0,0,0,0,1
M1-NO-2,1,NO,Open,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M1-NC-1,1,NC,Canopy,Native,Live,DICA,0,0,0,0,0,0,0,0
M1-NC-2,1,NC,Canopy,Native,Sterile,DICA,0,0,0,0,0,0,0,0
M1-IO-1,1,IO,Open,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M1-IO-2,1,IO,Open,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M1-IC-1,1,IC,Canopy,Invasive,Live,DICA,0,0,0,0,0,0,0,0
M1-IC-2,1,IC,Canopy,Invasive,Sterile,DICA,0,0,0,0,0,0,0,0
M1-NO-1,1,NO,Open,Native,Live,ERIN,3,3,3,4,4,4,4,4
M1-NO-2,1,NO,Open,Native,Sterile,ERIN,5,5,5,5,5,5,5,5
M1-NC-1,1,NC,Canopy,Native,Live,ERIN,5,5,5,5,5,5,5,4
M1-NC-2,1,NC,Canopy,Native,Sterile,ERIN,6,6,7,7,7,7,7,7
M1-IO-1,1,IO,Open,Invasive,Live,ERIN,3,3,3,3,3,3,3,3
M1-IO-2,1,IO,Open,Invasive,Sterile,ERIN,4,4,4,4,5,5,5,5
M1-IC-1,1,IC,Canopy,Invasive,Live,ERIN,4,4,4,4,4,4,4,4
M1-IC-2,1,IC,Canopy,Invasive,Sterile,ERIN,5,6,6,7,7,7,7,7
