Morphotype,IsolateID,CulturePlate,Type,MesquiteNum,PlantOrigin,Plot,PlateNum
F01,3-DICA-CAN-1-A,3-DICA-CAN-1,Fungi,3,DICA,CAN,1
F01,3-DICA-CAN-3-B,3-DICA-CAN-3,Fungi,3,DICA,CAN,3
F01,3-DICA-CAN-2-A,3-DICA-CAN-2,Fungi,3,DICA,CAN,2
F01,3-DICA-CAN-3-C,3-DICA-CAN-3,Fungi,3,DICA,CAN,3
F02,1-ERLE-OPN-1-A,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F02,3-ERLE-OPN-2-A,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F02,3-ERLE-OPN-1-C,3-ERLE-OPN-1,Fungi,3,ERLE,OPN,1
F02,3-ERLE-OPN-1-A1,3-ERLE-OPN-1,Fungi,3,ERLE,OPN,1
F03,2-DICA-CAN-1-B,2-DICA-CAN-1,Fungi,2,DICA,CAN,1
F03,1-DICA-OPN-3-A,1-DICA-OPN-3,Fungi,1,DICA,OPN,3
F03,2-DICA-CAN-1-G,2-DICA-CAN-1,Fungi,2,DICA,CAN,1
F03,2-DICA-CAN-3-G,2-DICA-CAN-3,Fungi,2,DICA,CAN,3
F03,3-DICA-OPN-3-A,3-DICA-OPN-3,Fungi,3,DICA,OPN,3
F03,2-ERLE-CAN-1-A,2-ERLE-CAN-1,Fungi,2,ERLE,CAN,1
F04,1-ERLE-OPN-1-F,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F04,1-ERLE-OPN-1-E,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F04,1-ERLE-OPN-1-G,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F05,2-ERLE-CAN-3-B,2-ERLE-CAN-3,Fungi,2,ERLE,CAN,3
F05,1-ERLE-CAN-3-C,1-ERLE-CAN-3,Fungi,1,ERLE,CAN,3
F05,1-ERLE-CAN-3-G,1-ERLE-CAN-3,Fungi,1,ERLE,CAN,3
F05,1-ERLE-CAN-3-C,1-ERLE-CAN-3,Fungi,1,ERLE,CAN,3
F05,1-ERLE-CAN-3-H,1-ERLE-CAN-3,Fungi,1,ERLE,CAN,3
F06,3-ERLE-OPN-1-A2,3-ERLE-OPN-1,Fungi,3,ERLE,OPN,1
F06,3-DICA-OPN-2-F,3-DICA-OPN-2,Fungi,3,DICA,OPN,2
F06,1-ERLE-CAN-3-I,1-ERLE-CAN-3,Fungi,1,ERLE,CAN,3
F07,3-DICA-CAN-2-C,3-DICA-CAN-2,Fungi,3,DICA,CAN,2
F07,3-DICA-CAN-3-A,3-DICA-CAN-3,Fungi,3,DICA,CAN,3
F07,1-DICA-CAN-2-C,1-DICA-CAN-2,Fungi,1,DICA,CAN,2
F07,3-DICA-CAN-1-B,3-DICA-CAN-1,Fungi,3,DICA,CAN,1
F07,3-DICA-CAN-3-D,3-DICA-CAN-3,Fungi,3,DICA,CAN,3
F07,2-DICA-CAN-2-A,2-DICA-CAN-2,Fungi,2,DICA,CAN,2
F07,2-DICA-CAN-2-C,2-DICA-CAN-2,Fungi,2,DICA,CAN,2
F08,1-DICA-CAN-2-A,1-DICA-CAN-2,Fungi,1,DICA,CAN,2
F08,3-ERLE-CAN-3-A,3-ERLE-CAN-3,Fungi,3,ERLE,CAN,3
F08,3-ERLE-CAN-1-A,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
F08,1-DICA-CAN-2-E,1-DICA-CAN-2,Fungi,1,DICA,CAN,2
F08,1-DICA-CAN-2-F,1-DICA-CAN-2,Fungi,1,DICA,CAN,2
F09,2-DICA-CAN-1-E,2-DICA-CAN-1,Fungi,2,DICA,CAN,1
F09,2-DICA-CAN-1-I,2-DICA-CAN-1,Fungi,2,DICA,CAN,1
F06,2-DICA-CAN-1-A,2-DICA-CAN-1,Fungi,2,DICA,CAN,1
F10,3-ERLE-OPN-3-F,3-ERLE-OPN-3,Fungi,3,ERLE,OPN,3
F11,1-DICA-OPN-2-D,1-DICA-OPN-2,Fungi,1,DICA,OPN,2
F11,1-DICA-OPN-2-H,1-DICA-OPN-2,Fungi,1,DICA,OPN,2
F11,1-DICA-OPN-1-F,1-DICA-OPN-1,Fungi,1,DICA,OPN,1
F11,1-ERLE-OPN-1-D,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F12,3-ERLE-CAN-1-C,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
F12,3-ERLE-OPN-2-F01,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F13,1-DICA-CAN-1-D,1-DICA-CAN-1,Fungi,1,DICA,CAN,1
F13,3-ERLE-OPN-3-D,3-ERLE-OPN-3,Fungi,3,ERLE,OPN,3
F14,1-DICA-CAN-2-D,1-DICA-CAN-2,Fungi,1,DICA,CAN,2
F14,2-DICA-CAN-2-B,2-DICA-CAN-2,Fungi,2,DICA,CAN,2
F15,3-ERLE-OPN-1-A2,3-ERLE-OPN-1,Fungi,3,ERLE,OPN,1
F15,3-ERLE-OPN-3-A,3-ERLE-OPN-3,Fungi,3,ERLE,OPN,3
F16,2-DICA-CAN-3-A,2-DICA-CAN-3,Fungi,2,DICA,CAN,3
F16,2-DICA-CAN-3-M,2-DICA-CAN-3,Fungi,2,DICA,CAN,3
F17,3-ERLE-OPN-2-D,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F17,3-ERLE-OPN-3-H,3-ERLE-OPN-3,Fungi,3,ERLE,OPN,3
F17,3-ERLE-OPN-2-E,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F18,3-ERLE-OPN-2-G,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F18,3-ERLE-CAN-1-D,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
F19,1-ERLE-OPN-2-A,1-ERLE-OPN-2,Fungi,1,ERLE,OPN,2
F02,3-ERLE-OPN-2-H,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F21,3-ERLE-OPN-1-F,3-ERLE-OPN-1,Fungi,3,ERLE,OPN,1
F22,3-ERLE-CAN-2-A,3-ERLE-CAN-2,Fungi,3,ERLE,CAN,2
F23,3-DICA-OPN-2-H,3-DICA-OPN-2,Fungi,3,DICA,OPN,2
F24,3-ERLE-OPN-3-F,3-ERLE-OPN-3,Fungi,3,ERLE,OPN,3
F04,1-ERLE-OPN-1-C,1-ERLE-OPN-1,Fungi,1,ERLE,OPN,1
F01,3-DICA-CAN-2-B,3-DICA-CAN-2,Fungi,3,DICA,CAN,2
F25,3-DICA-CAN-1-G,3-DICA-CAN-1,Fungi,3,DICA,CAN,1
F26,3-ERLE-CAN-3-B,3-ERLE-CAN-3,Fungi,3,ERLE,CAN,3
F26,1-ERLE-CAN-1-B,1-ERLE-CAN-1,Fungi,1,ERLE,CAN,1
F02,3-ERLE-CAN-3-E,3-ERLE-CAN-3,Fungi,3,ERLE,CAN,3
F11,3-ERLE-OPN-2-C,3-ERLE-OPN-2,Fungi,3,ERLE,OPN,2
F23,3-ERLE-CAN-1-D,3-ERLE-CAN-1,Fungi,3,ERLE,CAN,1
B08,3-ERLE-CAN-3-D,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
B08,3-ERLE-CAN-3-C,3-ERLE-CAN-3,Bacteria,3,ERLE,CAN,3
Other,3-ERLE-OPN-3-G,3-ERLE-OPN-3,Other,3,ERLE,OPN,3
Other,3-DICA-CAN-1-C,3-DICA-CAN-1,Other,3,DICA,CAN,1
Other,1-DICA-OPN-3-C,1-DICA-OPN-3,Other,1,DICA,OPN,3
Other,3-DICA-OPN-1-H,3-DICA-OPN-1,Other,3,DICA,OPN,1
Other,3-DICA-OPN-3-H,3-DICA-OPN-3,Other,3,DICA,OPN,3
Other,1-ERLE-CAN-3-A,1-ERLE-CAN-3,Other,1,ERLE,CAN,3
Other,1-DICA-CAN-1-B,1-DICA-CAN-1,Other,1,DICA,CAN,1
Other,1-DICA-CAN-1-C,1-DICA-CAN-1,Other,1,DICA,CAN,1
Other,1-DICA-CAN-3-D,1-DICA-CAN-3,Other,1,DICA,CAN,3
Other,2-DICA-CAN-1-H,2-DICA-CAN-1,Other,2,DICA,CAN,1
Other,3-ERLE-OPN-3-E,3-ERLE-OPN-3,Other,3,ERLE,OPN,3
No Growth,1-DICA-CAN-3-F,1-DICA-CAN-3,Other,1,DICA,CAN,3
No Growth,2-DICA-CAN-3-J,2-DICA-CAN-3,Other,2,DICA,CAN,3
B01,2-DICA-OPN-2-K,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-F,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-G,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-H,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-I,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-J,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-M,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B01,2-DICA-OPN-2-L,2-DICA-OPN-2,Bacteria,2,DICA,OPN,2
B0,1-DICA-OPN-3-G,1-DICA-OPN-3,Bacteria,1,DICA,OPN,3
B0,1-ERLE-OPN-3-A,1-ERLE-OPN-3,Bacteria,1,ERLE,OPN,3
B0,1-DICA-CAN-1-E,1-DICA-CAN-1,Bacteria,1,DICA,CAN,1
B0,3-DICA-OPN-3-F,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B0,3-DICA-CAN-1-D,3-DICA-CAN-1,Bacteria,3,DICA,CAN,1
B0,1-DICA-CAN-3-B,1-DICA-CAN-3,Bacteria,1,DICA,CAN,3
B0,3-DICA-OPN-3-C,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B0,3-ERLE-OPN-2-L,3-ERLE-OPN-2,Bacteria,3,ERLE,OPN,2
B0,3-DICA-OPN-3-B,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B0,1-DICA-OPN-2-I,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
B0,3-DICA-OPN-2-G,3-DICA-OPN-2,Bacteria,3,DICA,OPN,2
B0,3-DICA-OPN-1-B,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B0,3-ERLE-OPN-3-B,3-ERLE-OPN-3,Bacteria,3,ERLE,OPN,3
B0,2-DICA-CAN-3-F,2-DICA-CAN-3,Bacteria,2,DICA,CAN,3
B0,3-DICA-OPN-1-D,3-DICA-OPN-1,Bacteria,3,DICA,OPN,1
B0,3-DICA-OPN-3-E,3-DICA-OPN-3,Bacteria,3,DICA,OPN,3
B0,2-DICA-OPN-1-K,2-DICA-OPN-1,Bacteria,2,DICA,OPN,1
B0,1-DICA-OPN-1-H,1-DICA-OPN-1,Bacteria,1,DICA,OPN,1
B0,1-DICA-OPN-2-J,1-DICA-OPN-2,Bacteria,1,DICA,OPN,2
