Analysis,M1_NC_1,M1_NC_2,M1_IC_1,M1_IC_2,M1_NO_1,M1_NO_2,M1_IO_1,M1_IO_2,M2_NC_1,M2_NC_2,M2_IC_1,M2_IC_2,M2_NO_1,M2_NO_2,M2_IO_1,M2_IO_2,M3_NC_1,M3_NC_2,M3_IC_1,M3_IC_2,M3_NO_1,M3_NO_2,M3_IO_1,M3_IO_2
pH,5.3,5,5.6,6.3,5.1,5.3,5.3,5.2,5.2,5.3,5.3,5.3,5.6,5.6,6.1,5.4,5.4,5.2,5.2,5.5,5.3,5,5.6,5.2
ElectricalConductivity(dS/m),0.140,0.120,0.058,0.100,0.041,0.084,0.060,0.073,0.100,0.120,0.190,0.200,0.081,0.140,0.063,0.067,0.120,0.190,0.130,0.180,0.065,0.100,0.099,0.150
Ca(ppm),360,390,380,570,250,280,260,250,290,300,530,500,370,380,410,310,480,430,280,350,290,240,360,280
Mg(ppm),48,53,66,78,44,53,52,53,52,51,58,54,63,67,71,58,67,60,52,52,52,46,62,50
Na(ppm),21,20,24,19,20,22,21,17,24,25,27,22,19,21,25,25,20,17,20,18,15,26,17,24
K(ppm),220,240,130,130,78,130,110,99,170,150,170,120,110,96,110,110,200,200,130,110,130,100,110,93
Zn(ppm),1.80,2.10,1.20,1.60,0.79,0.96,1.40,1.20,1.10,1.00,1.60,1.50,1.10,1.80,0.79,1.00,2.50,2.20,1.20,1.30,0.71,1.00,0.94,0.87
Fe(ppm),150,86,26,34,49,19,26,34,64,25,47,34,19,18,12,16,31,31,32,17,19,19,14,14
Mn(ppm),10,37,10,39,13,53,17,36,13,27,12,24,14,40,10,48,11,26,11,31,15,30,14,38
Cu(ppm),2.7,2.1,2.6,1.5,1.6,2.1,1.7,1.7,1.9,1.2,3.5,1.4,1.8,2.8,2.6,3.4,1.6,1.5,1.7,1.8,1.9,2.8,1.7,1.4
Ni(ppm),0.130,0.130,0.070,0.080,0.066,0.067,0.100,0.110,0.099,0.059,0.120,0.082,0.076,0.071,0.057,0.062,0.150,0.100,0.120,0.089,0.064,0.061,0.065,0.056
NO3-N(ppm),9.7,5.5,4.6,2.8,2.7,1.4,6.9,4.9,6.4,5.0,13,7,8,3.8,5.4,1.9,16,6.1,6.7,3.1,3.6,1.5,6.3,0.97
PO4-P(ppm),19,20,8.4,7.3,9.5,6.3,9.7,7.5,9.7,11,16,9.8,7.4,10,7.8,8.9,11,9.8,12,9.3,10,9.4,6.8,6.6
SO4-S(ppm),9.4,9.5,3.2,5.0,2.6,3.0,7.5,8.5,5.4,8.1,6.4,7.1,4.1,5.8,2.4,3.7,5.2,6.5,4.4,5.1,3.3,3.5,2.7,6.8
B(ppm),0.59,0.53,0.35,0.46,0.57,0.68,1.30,0.88,0.77,0.94,0.43,0.33,0.24,0.41,0.30,0.40,0.22,0.23,0.52,1.30,0.36,0.19,0.17,0.17
ESP(%),3.21,2.82,3.63,2.12,4.59,4.23,4.35,3.68,4.32,4.51,3.2,2.86,3.03,3.28,3.6,4.5,2.45,2.29,3.88,3.09,2.87,5.81,2.78,4.85
CEC(meq/100g),2.85,3.08,2.88,3.9,1.9,2.26,2.1,2.01,2.41,2.41,3.67,3.34,2.73,2.78,3.02,2.41,3.55,3.23,2.24,2.53,2.27,1.95,2.66,2.15
